,city,state,status,lastUpdated,totalAvailable,pctAvailable,queryTime
170,STONEHAM,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
171,STOUGHTON,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
172,STURBRIDGE,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
173,SUDBURY,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
174,SWAMPSCOTT,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
175,SWANSEA,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
176,TAUNTON,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
177,TEWKSBURY,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
178,UXBRIDGE,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
179,WAKEFIELD,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
180,WALPOLE,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
181,WALTHAM,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
182,WARE,MA,Fully Booked,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
183,WAREHAM,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
184,WATERTOWN,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
185,WAYLAND,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
186,WEBSTER,MA,Fully Booked,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
187,WELLESLEY,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
188,WEST BOYLSTON,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
189,WEST BRIDGEWATER,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
190,WEST NEWTON,MA,Fully Booked,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
191,WEST ROXBURY,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
192,WEST SPRINGFIELD,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
193,WESTBOROUGH,MA,Fully Booked,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
194,WESTFIELD,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
195,WESTFORD,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
196,WESTPORT,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
197,WESTWOOD,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
198,WEYMOUTH,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
199,WHITINSVILLE,MA,Fully Booked,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
200,WHITMAN,MA,Available,2021-04-24T03:06:45.092,,,2021-04-24 10:16:31.307559
